items_internal_id,items_variant_1,items_variant_2,hha_hha_id,hha_value
383,0,0,1,music
383,0,0,2,
383,1,0,1,music
383,1,0,2,
383,2,0,1,music
383,2,0,2,
383,3,0,1,music
383,3,0,2,
383,4,0,1,music
383,4,0,2,
383,5,0,1,music
383,5,0,2,
383,6,0,1,music
383,6,0,2,
3821,0,0,1,living room
3821,0,0,2,office
3821,1,0,1,living room
3821,1,0,2,office
3821,2,0,1,living room
3821,2,0,2,office
3821,3,0,1,living room
3821,3,0,2,office
3821,4,0,1,living room
3821,4,0,2,office
846,0,0,1,music
846,0,0,2,
1317,0,0,1,school
1317,0,0,2,expensive
7238,0,0,1,ocean
7238,0,0,2,
7238,1,0,1,ocean
7238,1,0,2,
7238,2,0,1,ocean
7238,2,0,2,
7238,3,0,1,ocean
7238,3,0,2,
7238,4,0,1,ocean
7238,4,0,2,
7238,5,0,1,ocean
7238,5,0,2,
7867,0,0,1,garden
7867,0,0,2,
7867,1,0,1,garden
7867,1,0,2,
7867,2,0,1,garden
7867,2,0,2,
7867,3,0,1,garden
7867,3,0,2,
7867,4,0,1,garden
7867,4,0,2,
7867,5,0,1,garden
7867,5,0,2,
7867,6,0,1,garden
7867,6,0,2,
7867,7,0,1,garden
7867,7,0,2,
3957,0,0,1,living room
3957,0,0,2,expensive
3957,1,0,1,living room
3957,1,0,2,expensive
3957,2,0,1,living room
3957,2,0,2,expensive
3956,0,0,1,living room
3956,0,0,2,expensive
3956,1,0,1,living room
3956,1,0,2,expensive
3956,2,0,1,living room
3956,2,0,2,expensive
3950,0,0,1,living room
3950,0,0,2,expensive
3950,1,0,1,living room
3950,1,0,2,expensive
3950,2,0,1,living room
3950,2,0,2,expensive
3954,0,0,1,living room
3954,0,0,2,expensive
3954,1,0,1,living room
3954,1,0,2,expensive
3954,2,0,1,living room
3954,2,0,2,expensive
3951,0,0,1,living room
3951,0,0,2,expensive
3951,1,0,1,living room
3951,1,0,2,expensive
3951,2,0,1,living room
3951,2,0,2,expensive
3958,0,0,1,living room
3958,0,0,2,expensive
3958,1,0,1,living room
3958,1,0,2,expensive
3958,2,0,1,living room
3958,2,0,2,expensive
3952,0,0,1,living room
3952,0,0,2,expensive
3952,1,0,1,living room
3952,1,0,2,expensive
3952,2,0,1,living room
3952,2,0,2,expensive
3955,0,0,1,living room
3955,0,0,2,expensive
3955,1,0,1,living room
3955,1,0,2,expensive
3955,2,0,1,living room
3955,2,0,2,expensive
3959,0,0,1,living room
3959,0,0,2,expensive
3959,1,0,1,living room
3959,1,0,2,expensive
3959,2,0,1,living room
3959,2,0,2,expensive
4134,0,0,1,fancy
4134,0,0,2,
4134,1,0,1,fancy
4134,1,0,2,
5956,0,0,1,expensive
5956,0,0,2,bathroom
8226,0,0,1,facility
8226,0,0,2,shop
8225,0,0,1,facility
8225,0,0,2,shop
8227,0,0,1,facility
8227,0,0,2,shop
12207,0,0,1,facility
12207,0,0,2,shop
12207,1,0,1,facility
12207,1,0,2,shop
12207,2,0,1,facility
12207,2,0,2,shop
5954,0,0,1,expensive
5954,0,0,2,fancy
7839,0,0,1,garden
7839,0,0,2,facility
1439,0,0,1,space
1439,0,0,2,facility
1445,0,0,1,space
1445,0,0,2,
2740,0,0,1,bathroom
2740,0,0,2,
2740,1,0,1,bathroom
2740,1,0,2,
2740,2,0,1,bathroom
2740,2,0,2,
