item_name,variation,body_title,pattern,pattern_title,diy,body_customize,pattern_customize,kit_cost,buy,sell,color_1,color_2,miles_price,source,source_notes,version,hha_concept_1,hha_concept_2,hha_series,hha_set,interact,tag,outdoor,speaker_type,lightning_type,catalog,file_name,internal_id,unique_entry_id,variant_1,variant_2,size_x,size_y
acoustic guitar,Natural,Body,,,1,1,0,5,,3210,Beige,Brown,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_0_0,383,EpywQXABBcv2dipsP,0,0,1,1
acoustic guitar,Cherry,Body,,,1,1,0,5,,3210,Red,Black,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_1_0,383,K9she5Y4SuXA8MGBR,1,0,1,1
acoustic guitar,Brown,Body,,,1,1,0,5,,3210,Brown,Black,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_2_0,383,vLq9iphAvALBXazDr,2,0,1,1
acoustic guitar,Blue,Body,,,1,1,0,5,,3210,Blue,Black,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_3_0,383,nuqeFzNE5PneqGHaj,3,0,1,1
acoustic guitar,White,Body,,,1,1,0,5,,3210,White,Black,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_4_0,383,DotFsojrhCwrLZ3TF,4,0,1,1
acoustic guitar,Black,Body,,,1,1,0,5,,3210,Black,Black,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_5_0,383,RuRMFyvWnDC2SoG8m,5,0,1,1
acoustic guitar,Pink,Body,,,1,1,0,5,,3210,Pink,White,,Crafting,,1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,0,FtrAcorsticguitar_Remake_6_0,383,NWv9CJfSPtBTKoL4B,6,0,1,1
air circulator,White,,,,0,0,0,,1100,275,White,White,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,1,Does not play music,No lighting,1,FtrCirculator_Remake_0_0,3821,J4inuBziPCSGZNEPM,0,0,1,1
air circulator,Black,,,,0,0,0,,1100,275,Black,Gray,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,1,Does not play music,No lighting,1,FtrCirculator_Remake_1_0,3821,E2dZPSD94isFZWd2F,1,0,1,1
air circulator,Pink,,,,0,0,0,,1100,275,Pink,Pink,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,1,Does not play music,No lighting,1,FtrCirculator_Remake_2_0,3821,uAY6FFGdXWeAG9gMa,2,0,1,1
air circulator,Green,,,,0,0,0,,1100,275,Green,Gray,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,1,Does not play music,No lighting,1,FtrCirculator_Remake_3_0,3821,bGCQ9bA27ftHoLoKb,3,0,1,1
air circulator,Yellow,,,,0,0,0,,1100,275,Yellow,Gray,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,,,Yes,Fan,1,Does not play music,No lighting,1,FtrCirculator_Remake_4_0,3821,5pBqNZaZWveKR6K5s,4,0,1,1
alto saxophone,,,,,0,0,0,,3400,850,Yellow,Yellow,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,music,,,,Yes,Musical Instrument,0,Does not play music,No lighting,1,FtrAltosax,846,yAj7DyFRDjWbh7qYP,0,0,1,1
anatomical model,,,,,0,0,0,,3500,875,Colorful,Beige,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,,,No,Hospital,0,Does not play music,No lighting,1,FtrAnatomicalmodel,1317,t2LzAKDofAZYyqZ6r,0,0,1,1
