items_internal_id,items_variant_1,items_variant_2,numerics_numerics_id,numerics_value
383,0,0,1,
383,0,0,2,3210
383,0,0,3,
383,0,0,4,1.0
383,0,0,5,1.0
383,0,0,6,5.0
383,1,0,1,
383,1,0,2,3210
383,1,0,3,
383,1,0,4,1.0
383,1,0,5,1.0
383,1,0,6,5.0
383,2,0,1,
383,2,0,2,3210
383,2,0,3,
383,2,0,4,1.0
383,2,0,5,1.0
383,2,0,6,5.0
383,3,0,1,
383,3,0,2,3210
383,3,0,3,
383,3,0,4,1.0
383,3,0,5,1.0
383,3,0,6,5.0
383,4,0,1,
383,4,0,2,3210
383,4,0,3,
383,4,0,4,1.0
383,4,0,5,1.0
383,4,0,6,5.0
383,5,0,1,
383,5,0,2,3210
383,5,0,3,
383,5,0,4,1.0
383,5,0,5,1.0
383,5,0,6,5.0
383,6,0,1,
383,6,0,2,3210
383,6,0,3,
383,6,0,4,1.0
383,6,0,5,1.0
383,6,0,6,5.0
3821,0,0,1,1100.0
3821,0,0,2,275
3821,0,0,3,
3821,0,0,4,1.0
3821,0,0,5,1.0
3821,0,0,6,
3821,1,0,1,1100.0
3821,1,0,2,275
3821,1,0,3,
3821,1,0,4,1.0
3821,1,0,5,1.0
3821,1,0,6,
3821,2,0,1,1100.0
3821,2,0,2,275
3821,2,0,3,
3821,2,0,4,1.0
3821,2,0,5,1.0
3821,2,0,6,
3821,3,0,1,1100.0
3821,3,0,2,275
3821,3,0,3,
3821,3,0,4,1.0
3821,3,0,5,1.0
3821,3,0,6,
3821,4,0,1,1100.0
3821,4,0,2,275
3821,4,0,3,
3821,4,0,4,1.0
3821,4,0,5,1.0
3821,4,0,6,
846,0,0,1,3400.0
846,0,0,2,850
846,0,0,3,
846,0,0,4,1.0
846,0,0,5,1.0
846,0,0,6,
1317,0,0,1,3500.0
1317,0,0,2,875
1317,0,0,3,
1317,0,0,4,1.0
1317,0,0,5,1.0
1317,0,0,6,
7238,0,0,1,
7238,0,0,2,1400
7238,0,0,3,
7238,0,0,4,1.0
7238,0,0,5,1.0
7238,0,0,6,2.0
7238,1,0,1,
7238,1,0,2,1400
7238,1,0,3,
7238,1,0,4,1.0
7238,1,0,5,1.0
7238,1,0,6,2.0
7238,2,0,1,
7238,2,0,2,1400
7238,2,0,3,
7238,2,0,4,1.0
7238,2,0,5,1.0
7238,2,0,6,2.0
7238,3,0,1,
7238,3,0,2,1400
7238,3,0,3,
7238,3,0,4,1.0
7238,3,0,5,1.0
7238,3,0,6,2.0
7238,4,0,1,
7238,4,0,2,1400
7238,4,0,3,
7238,4,0,4,1.0
7238,4,0,5,1.0
7238,4,0,6,2.0
7238,5,0,1,
7238,5,0,2,1400
7238,5,0,3,
7238,5,0,4,1.0
7238,5,0,5,1.0
7238,5,0,6,2.0
7867,0,0,1,
7867,0,0,2,600
7867,0,0,3,
7867,0,0,4,1.0
7867,0,0,5,1.0
7867,0,0,6,1.0
7867,1,0,1,
7867,1,0,2,600
7867,1,0,3,
7867,1,0,4,1.0
7867,1,0,5,1.0
7867,1,0,6,1.0
7867,2,0,1,
7867,2,0,2,600
7867,2,0,3,
7867,2,0,4,1.0
7867,2,0,5,1.0
7867,2,0,6,1.0
7867,3,0,1,
7867,3,0,2,600
7867,3,0,3,
7867,3,0,4,1.0
7867,3,0,5,1.0
7867,3,0,6,1.0
7867,4,0,1,
7867,4,0,2,600
7867,4,0,3,
7867,4,0,4,1.0
7867,4,0,5,1.0
7867,4,0,6,1.0
7867,5,0,1,
7867,5,0,2,600
7867,5,0,3,
7867,5,0,4,1.0
7867,5,0,5,1.0
7867,5,0,6,1.0
7867,6,0,1,
7867,6,0,2,600
7867,6,0,3,
7867,6,0,4,1.0
7867,6,0,5,1.0
7867,6,0,6,1.0
7867,7,0,1,
7867,7,0,2,600
7867,7,0,3,
7867,7,0,4,1.0
7867,7,0,5,1.0
7867,7,0,6,1.0
3957,0,0,1,28000.0
3957,0,0,2,7000
3957,0,0,3,
3957,0,0,4,2.0
3957,0,0,5,2.0
3957,0,0,6,
3957,1,0,1,28000.0
3957,1,0,2,7000
3957,1,0,3,
3957,1,0,4,2.0
3957,1,0,5,2.0
3957,1,0,6,
3957,2,0,1,28000.0
3957,2,0,2,7000
3957,2,0,3,
3957,2,0,4,2.0
3957,2,0,5,2.0
3957,2,0,6,
3956,0,0,1,20000.0
3956,0,0,2,5000
3956,0,0,3,
3956,0,0,4,1.0
3956,0,0,5,1.0
3956,0,0,6,
3956,1,0,1,20000.0
3956,1,0,2,5000
3956,1,0,3,
3956,1,0,4,1.0
3956,1,0,5,1.0
3956,1,0,6,
3956,2,0,1,20000.0
3956,2,0,2,5000
3956,2,0,3,
3956,2,0,4,1.0
3956,2,0,5,1.0
3956,2,0,6,
3950,0,0,1,10000.0
3950,0,0,2,2500
3950,0,0,3,
3950,0,0,4,1.0
3950,0,0,5,1.0
3950,0,0,6,
3950,1,0,1,10000.0
3950,1,0,2,2500
3950,1,0,3,
3950,1,0,4,1.0
3950,1,0,5,1.0
3950,1,0,6,
3950,2,0,1,10000.0
3950,2,0,2,2500
3950,2,0,3,
3950,2,0,4,1.0
3950,2,0,5,1.0
3950,2,0,6,
3954,0,0,1,44000.0
3954,0,0,2,11000
3954,0,0,3,
3954,0,0,4,1.0
3954,0,0,5,1.0
3954,0,0,6,
3954,1,0,1,44000.0
3954,1,0,2,11000
3954,1,0,3,
3954,1,0,4,1.0
3954,1,0,5,1.0
3954,1,0,6,
3954,2,0,1,44000.0
3954,2,0,2,11000
3954,2,0,3,
3954,2,0,4,1.0
3954,2,0,5,1.0
3954,2,0,6,
3951,0,0,1,17000.0
3951,0,0,2,4250
3951,0,0,3,
3951,0,0,4,2.0
3951,0,0,5,1.0
3951,0,0,6,
3951,1,0,1,17000.0
3951,1,0,2,4250
3951,1,0,3,
3951,1,0,4,2.0
3951,1,0,5,1.0
3951,1,0,6,
3951,2,0,1,17000.0
3951,2,0,2,4250
3951,2,0,3,
3951,2,0,4,2.0
3951,2,0,5,1.0
3951,2,0,6,
3958,0,0,1,6700.0
3958,0,0,2,1675
3958,0,0,3,
3958,0,0,4,1.0
3958,0,0,5,1.0
3958,0,0,6,
3958,1,0,1,6700.0
3958,1,0,2,1675
3958,1,0,3,
3958,1,0,4,1.0
3958,1,0,5,1.0
3958,1,0,6,
3958,2,0,1,6700.0
3958,2,0,2,1675
3958,2,0,3,
3958,2,0,4,1.0
3958,2,0,5,1.0
3958,2,0,6,
3952,0,0,1,25000.0
3952,0,0,2,6250
3952,0,0,3,
3952,0,0,4,2.0
3952,0,0,5,2.0
3952,0,0,6,
3952,1,0,1,25000.0
3952,1,0,2,6250
3952,1,0,3,
3952,1,0,4,2.0
3952,1,0,5,2.0
3952,1,0,6,
3952,2,0,1,25000.0
3952,2,0,2,6250
3952,2,0,3,
3952,2,0,4,2.0
3952,2,0,5,2.0
3952,2,0,6,
3955,0,0,1,31000.0
3955,0,0,2,7750
3955,0,0,3,
3955,0,0,4,2.0
3955,0,0,5,1.0
3955,0,0,6,
3955,1,0,1,31000.0
3955,1,0,2,7750
3955,1,0,3,
3955,1,0,4,2.0
3955,1,0,5,1.0
3955,1,0,6,
3955,2,0,1,31000.0
3955,2,0,2,7750
3955,2,0,3,
3955,2,0,4,2.0
3955,2,0,5,1.0
3955,2,0,6,
3959,0,0,1,37000.0
3959,0,0,2,9250
3959,0,0,3,
3959,0,0,4,2.0
3959,0,0,5,1.0
3959,0,0,6,
3959,1,0,1,37000.0
3959,1,0,2,9250
3959,1,0,3,
3959,1,0,4,2.0
3959,1,0,5,1.0
3959,1,0,6,
3959,2,0,1,37000.0
3959,2,0,2,9250
3959,2,0,3,
3959,2,0,4,2.0
