internal_id,variant_1,variant_2,properties_id,properties_value
383,0,0,1,Musical Instrument
383,0,0,2,Does not play music
383,0,0,3,No lighting
383,0,0,4,
383,0,0,5,
383,1,0,1,Musical Instrument
383,1,0,2,Does not play music
383,1,0,3,No lighting
383,1,0,4,
383,1,0,5,
383,2,0,1,Musical Instrument
383,2,0,2,Does not play music
383,2,0,3,No lighting
383,2,0,4,
383,2,0,5,
383,3,0,1,Musical Instrument
383,3,0,2,Does not play music
383,3,0,3,No lighting
383,3,0,4,
383,3,0,5,
383,4,0,1,Musical Instrument
383,4,0,2,Does not play music
383,4,0,3,No lighting
383,4,0,4,
383,4,0,5,
383,5,0,1,Musical Instrument
383,5,0,2,Does not play music
383,5,0,3,No lighting
383,5,0,4,
383,5,0,5,
383,6,0,1,Musical Instrument
383,6,0,2,Does not play music
383,6,0,3,No lighting
383,6,0,4,
383,6,0,5,
3821,0,0,1,Fan
3821,0,0,2,Does not play music
3821,0,0,3,No lighting
3821,0,0,4,
3821,0,0,5,
3821,1,0,1,Fan
3821,1,0,2,Does not play music
3821,1,0,3,No lighting
3821,1,0,4,
3821,1,0,5,
3821,2,0,1,Fan
3821,2,0,2,Does not play music
3821,2,0,3,No lighting
3821,2,0,4,
3821,2,0,5,
3821,3,0,1,Fan
3821,3,0,2,Does not play music
3821,3,0,3,No lighting
3821,3,0,4,
3821,3,0,5,
3821,4,0,1,Fan
3821,4,0,2,Does not play music
3821,4,0,3,No lighting
3821,4,0,4,
3821,4,0,5,
846,0,0,1,Musical Instrument
846,0,0,2,Does not play music
846,0,0,3,No lighting
846,0,0,4,
846,0,0,5,
1317,0,0,1,Hospital
1317,0,0,2,Does not play music
1317,0,0,3,No lighting
1317,0,0,4,
1317,0,0,5,
7238,0,0,1,Seaside
7238,0,0,2,Does not play music
7238,0,0,3,No lighting
7238,0,0,4,
7238,0,0,5,
7238,1,0,1,Seaside
7238,1,0,2,Does not play music
7238,1,0,3,No lighting
7238,1,0,4,
7238,1,0,5,
7238,2,0,1,Seaside
7238,2,0,2,Does not play music
7238,2,0,3,No lighting
7238,2,0,4,
7238,2,0,5,
7238,3,0,1,Seaside
7238,3,0,2,Does not play music
7238,3,0,3,No lighting
7238,3,0,4,
7238,3,0,5,
7238,4,0,1,Seaside
7238,4,0,2,Does not play music
7238,4,0,3,No lighting
7238,4,0,4,
7238,4,0,5,
7238,5,0,1,Seaside
7238,5,0,2,Does not play music
7238,5,0,3,No lighting
7238,5,0,4,
7238,5,0,5,
7867,0,0,1,Vehicle
7867,0,0,2,Does not play music
7867,0,0,3,No lighting
7867,0,0,4,
7867,0,0,5,
7867,1,0,1,Vehicle
7867,1,0,2,Does not play music
7867,1,0,3,No lighting
7867,1,0,4,
7867,1,0,5,
7867,2,0,1,Vehicle
7867,2,0,2,Does not play music
7867,2,0,3,No lighting
7867,2,0,4,
7867,2,0,5,
7867,3,0,1,Vehicle
7867,3,0,2,Does not play music
7867,3,0,3,No lighting
7867,3,0,4,
7867,3,0,5,
7867,4,0,1,Vehicle
7867,4,0,2,Does not play music
7867,4,0,3,No lighting
7867,4,0,4,
7867,4,0,5,
7867,5,0,1,Vehicle
7867,5,0,2,Does not play music
7867,5,0,3,No lighting
7867,5,0,4,
7867,5,0,5,
7867,6,0,1,Vehicle
7867,6,0,2,Does not play music
7867,6,0,3,No lighting
7867,6,0,4,
7867,6,0,5,
7867,7,0,1,Vehicle
7867,7,0,2,Does not play music
7867,7,0,3,No lighting
7867,7,0,4,
7867,7,0,5,
3957,0,0,1,Bed
3957,0,0,2,Does not play music
3957,0,0,3,No lighting
3957,0,0,4,
3957,0,0,5,
3957,1,0,1,Bed
